symbol,company,cik,market_cap_05132022,last_sale_05132022,sector
MU,"Micron Technology, Inc. Common Stock",723125,80299513687,71.91,Information Technology
LRCX,Lam Research Corporation Common Stock,707549,67835809654,489.03,Information Technology
KLAC,KLA Corporation Common Stock,319201,49902708035,334.39,Information Technology
PANW,"Palo Alto Networks, Inc. Common Stock",1327567,48257352570,490,Information Technology
MRVL,"Marvell Technology, Inc. Common Stock",1835632,48055635086,56.49,Information Technology
NXPI,NXP Semiconductors N.V. Common Stock,1413447,47463837088,180.77,Information Technology
FTNT,"Fortinet, Inc. Common Stock",1262039,44987727342,280.25,Information Technology
MCHP,Microchip Technology Incorporated Common Stock,827054,37460264560,67.38,Information Technology
SWKS,"Skyworks Solutions, Inc. Common Stock",4127,16631715949,103.35,Information Technology
FAST,Fastenal Company Common Stock,815556,30357462128,52.74,Industrials
CMCSA,Comcast Corporation Class A Common Stock,1166691,1.85047E+11,41.31,Communication Services
CHTR,"Charter Communications, Inc. Class A Common Stock New",1091667,95821100124,467.65,Communication Services
BKNG,Booking Holdings Inc. Common Stock,1075531,85121970622,2095.4,Consumer Discretionary
SBUX,Starbucks Corporation Common Stock,829224,85028069370,74.14,Consumer Discretionary
ABNB,"Airbnb, Inc. Class A Common Stock",1559720,72459497355,121.5,Consumer Discretionary
MAR,Marriott International Class A Common Stock,1048286,54462451430,166.4,Consumer Discretionary
CTAS,Cintas Corporation Common Stock,723254,38635839895,377.58,Industrials
SIRI,Sirius XM Holdings Inc. Common Stock,908937,24187435923,6.15,Communication Services
PEP,"PepsiCo, Inc. Common Stock",77476,2.37723E+11,171.93,Consumer Staples
MDLZ,"Mondelez International, Inc. Class A Common Stock",1103982,91138290785,65.86,Consumer Staples
KHC,The Kraft Heinz Company Common Stock,1637459,53707011083,43.88,Consumer Staples
KDP,Keurig Dr Pepper Inc. Common Stock,1418135,52911796834,37.3,Consumer Staples
MNST,Monster Beverage Corporation,865752,46574006818,87.93,Consumer Staples
TSLA,"Tesla, Inc. Common Stock",1318605,8.05145E+11,777.16,Consumer Discretionary
ATVI,"Activision Blizzard, Inc. Common Stock",718877,61010211260,78.03,Communication Services
EA,Electronic Arts Inc. Common Stock,712515,34860312341,123.96,Communication Services
TMUS,"T-Mobile US, Inc. Common Stock",1283699,1.58428E+11,126.38,Communication Services
CPRT,"Copart, Inc. (DE) Common Stock",900075,26523698799,111.68,Industrials
